enactment_id,activity_name,timestamp,agent_name
ORD_5ec8c6dd,seller_clerk_1: Queued Task (on_order),2020-01-28 05:12:24.066,seller_clerk_1
ORD_57057330,seller_clerk_1: Completed Task (on_order),2020-01-28 05:26:39.620,seller_clerk_1
ORD_98f3221d,seller_clerk_1: Started Task (send_delivery_req),2020-01-28 05:26:39.629,seller_clerk_1
ORD_6f9e40a5,buyer_purchaser_1: Queued Task (on_invoice),2020-01-28 05:26:39.660,buyer_purchaser_1
ORD_57057330,seller_clerk_2: Queued Task (send_delivery_req),2020-01-28 05:26:39.667,seller_clerk_2
ORD_57057330,seller_accountant_1: Queued Task (send_invoice),2020-01-28 05:26:39.667,seller_accountant_1
ORD_98f3221d,buyer_purchaser_1: Completed Task (send_pay),2020-01-28 05:27:24.228,buyer_purchaser_1
ORD_6f9e40a5,buyer_purchaser_1: Started Task (on_invoice),2020-01-28 05:27:24.233,buyer_purchaser_1
ORD_98f3221d,buyer: Send pay,2020-01-28 05:27:24.394,buyer
ORD_6f9e40a5,buyer_purchaser_1: Completed Task (on_invoice),2020-01-28 05:32:24.350,buyer_purchaser_1
ORD_98f3221d,seller_accountant_1: Queued Task (on_pay),2020-01-28 05:32:24.395,seller_accountant_1
ORD_ece26018,seller_accountant_1: Completed Task (send_invoice),2020-01-28 05:33:24.920,seller_accountant_1
ORD_fb7a399a,seller_accountant_1: Started Task (send_invoice),2020-01-28 05:33:24.931,seller_accountant_1
ORD_6f9e40a5,buyer_purchaser_1: Received Task (send_pay),2020-01-28 05:33:24.957,buyer_purchaser_1
ORD_ece26018,seller: Send invoice,2020-01-28 05:33:24.962,seller
ORD_622c8921,seller_clerk_2: Completed Task (on_order),2020-01-28 05:38:52.283,seller_clerk_2
ORD_6f9e40a5,buyer_purchaser_1: Started Task (send_pay),2020-01-28 05:38:52.284,buyer_purchaser_1
ORD_6f9e40a5,seller_clerk_2: Started Task (send_delivery_req),2020-01-28 05:38:52.289,seller_clerk_2
ORD_ece26018,buyer_purchaser_1: Queued Task (on_invoice),2020-01-28 05:38:52.323,buyer_purchaser_1
ORD_622c8921,seller_accountant_1: Queued Task (send_invoice),2020-01-28 05:38:52.328,seller_accountant_1
ORD_6f9e40a5,buyer_purchaser_1: Completed Task (send_pay),2020-01-28 05:53:52.393,buyer_purchaser_1
ORD_ece26018,buyer_purchaser_1: Started Task (on_invoice),2020-01-28 05:53:52.395,buyer_purchaser_1
ORD_6f9e40a5,buyer: Send pay,2020-01-28 05:53:52.531,buyer
ORD_4ff39da0,logistics_warehouseman_1: Completed Task (on_delivery_req),2020-01-28 05:55:48.457,logistics_warehouseman_1
ORD_2a4e47a7,logistics_warehouseman_1: Started Task (on_delivery_req),2020-01-28 05:55:48.464,logistics_warehouseman_1
ORD_4ff39da0,logistics_courier_1: Queued Task (send_deliver),2020-01-28 05:55:48.506,logistics_courier_1
ORD_6f9e40a5,seller_accountant_1: Queued Task (on_pay),2020-01-28 05:55:48.506,seller_accountant_1
